file	severity	category	excerpt	fix_status
blog/cystic-acne-gut-healing-what-actually-cleared-skin-2026.html	CRITICAL	drug_alternative	Not Accutane / accutane alternative in title schema	remediated
blog/cystic-acne-gut-healing-what-actually-cleared-skin-2026.html	CRITICAL	cure_claim	90% clear / 95% clear / You don't need Accutane	remediated
blog/moringa-powder-victoria-seniors-joint-health.html	CRITICAL	drug_replace	Stop Taking Voltaren Every Day	remediated
blog/moringa-powder-victoria-seniors-joint-health.html	CRITICAL	treat_claim	How Moringa Fights Arthritis / DAS28 superiority	remediated
blog/moringa-powder-victoria-seniors-joint-health.html	CRITICAL	drug_compare	Moringa worked faster than glucosamine/Voltaren	remediated
blog/cant-lose-weight-broken-gut-what-actually-worked-2026.html	CRITICAL	guaranteed_outcome	18kg in 6 months / 82→64kg schema	remediated
blog/chronic-fatigue-what-actually-fixed-it-2026.html	CRITICAL	cure_framing	What Actually Fixed It in H1/title	remediated
blog/chronic-fatigue-what-actually-fixed-it-2026.html	CRITICAL	dosing_advice	low-dose thyroid medication narrative	remediated
blog/nutrithrive-dried-curry-leaves-tradition-health.html	CRITICAL	prevent_claim	prevent anaemia / night blindness / fend off infections	remediated
blog/cortisol-belly-fat-couldnt-lose-stomach-melbourne-2026.html	HIGH	guaranteed_outcome	lost 6cm in 8 weeks	remediated
blog/cortisol-belly-fat-couldnt-lose-stomach-melbourne-2026.html	HIGH	adaptogen	adaptogenic cortisol cure framing	remediated
blog/best-superfoods-australia-comparison-health-conscious-adults.html	HIGH	treat_claim	Diabetes Management Breakthrough / galactagogue clinical	remediated
blog/best-superfoods-australia-comparison-health-conscious-adults.html	HIGH	treat_claim	managing arthritis joint pain	remediated
blog/is-moringa-banned-australia-truth-2026.html	HIGH	unverified_enforcement	One brand fined May 2026 (no public source cited)	remediated
products/moringa-powder/index.html	MEDIUM	disease_claim	celiac disease on PDP	remediated
products/curry-leaves/index.html	LOW	dead_link	moringa-powder-guide deleted URL	remediated
