priority,category,source_url,lifecycle_status,seo_action,sales_action,compliance_gate,destination_if_any,reason,evidence,risk,confidence,missing_data,founder_approval
P0,COMMERCIAL_ACCURACY_EXCEPTION,https://nutrithrive.com.au/blog/darjeeling-black-tea-australia-guide,IMPROVE,Correct stale free-shipping threshold only,Keep current-policy wording at $79+,CLEAR,,Confirmed commercial-policy inconsistency,Previous wording reported as free shipping over $80 within Australia; corrected source uses $79,Incorrect shipping expectation,HIGH,None,YES
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/30-different-plants-per-week-gut-health-microbiome-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=3.0; impressions=27.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/best-anti-inflammatory-foods-australia-daily-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/best-plant-based-iron-foods-australia-absorption-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/blood-sugar-spikes-how-to-avoid-through-food-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/chemist-warehouse-greens-vs-moringa-powder-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/cold-brew-darjeeling-australian-spring-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/cortisol-cocktail-trend-explained-moringa-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
