URL,HTTP,INDEXABILITY,CANONICAL,TITLE,H1,META_DESCRIPTION,SCHEMA_TYPES,SITEMAP,LASTMOD,INTERNAL_LINKS,COMMERCIAL_ROLE,SEARCH_JOB,BING_INSPECTION_REQUIRED,GOOGLE_INSPECTION_REQUIRED,CONTENT_LOCK
https://nutrithrive.com.au/,200,INDEXABLE,https://nutrithrive.com.au/,"NutriThrive: Moringa Powder, Curry Leaves &amp; Tea | Melbourne",Pure moringa. Nothing unnecessary.,"Lab-tested moringa powder, dried curry leaves and Darjeeling tea from Melbourne. NMI tested, from $11. Same-day dispatch. Free AU shipping at $79.",LocalBusiness|HealthFoodStore|WebSite,YES,2026-09-15,10710,NAVIGATIONAL / BRAND,HOME / BRAND,YES — PRIORITY BASELINE,YES — QUERY × PAGE DATA,MEASUREMENT LOCK
https://nutrithrive.com.au/products/curry-leaves/,200,INDEXABLE,https://nutrithrive.com.au/products/curry-leaves/,Dried Curry Leaves Australia — Shade-Dried Kari Leaf | $7,Dried Curry Leaves,"Buy dried curry leaves Australia $7/30g. Shade-dried kari leaf, packed in Truganina. Free AU shipping at $79.",LocalBusiness|HealthFoodStore|Product|BreadcrumbList,YES,2026-09-15,511,TRANSACTIONAL,BUY DRIED CURRY LEAVES AUSTRALIA,YES — PRIORITY BASELINE,YES — PRODUCT / MERCHANT CHECK,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/products/black-tea/,200,INDEXABLE,https://nutrithrive.com.au/products/black-tea/,Darjeeling Black Tea Australia — First Flush | $7.50 | NutriThrive,Darjeeling Black Tea,Buy first-flush Darjeeling black tea Australia $7.50/100g. Packed in Truganina Melbourne. Free AU shipping at $79.,LocalBusiness|HealthFoodStore|Product|BreadcrumbList,YES,2026-09-15,481,TRANSACTIONAL,BUY DARJEELING TEA AUSTRALIA,YES — DISCOVERY GAP,YES — PRODUCT / MERCHANT CHECK,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/products/moringa-powder/,200,INDEXABLE,https://nutrithrive.com.au/products/moringa-powder/,"Moringa Powder Australia — NMI Lab-Tested, Shade-Dried | From $11",Moringa Powder Australia,"Buy moringa powder Australia from $11/100g. NMI lab-tested, shade-dried leaf, packed in Truganina Melbourne. Free AU shipping at $79.",LocalBusiness|HealthFoodStore|Product|FAQPage|BreadcrumbList,YES,2026-09-15,1045,TRANSACTIONAL,BUY MORINGA POWDER AUSTRALIA,YES — PRIORITY BASELINE,YES — PRODUCT / MERCHANT CHECK,MEASUREMENT LOCK
https://nutrithrive.com.au/blog/curry-leaves-substitute-what-to-use-2026,200,INDEXABLE,https://nutrithrive.com.au/blog/curry-leaves-substitute-what-to-use-2026,Curry Leaf Substitute: 7 Best Swaps for Australian Kitchens,Curry Leaf Substitute: 7 Best Swaps for Australian Kitchens,"No curry leaves? Compare dried curry leaves, makrut lime leaves, citrus zest and four other substitutes, with practical swap ratios for Australian cooks.",LocalBusiness|HealthFoodStore|Article|BreadcrumbList,YES,2026-09-14,15,INFORMATIONAL,CURRY LEAF SUBSTITUTE,YES — PRIORITY BASELINE,YES — QUERY × PAGE DATA,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,200,INDEXABLE,https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,"Fresh vs Dried Curry Leaves: Taste, Use &amp; Storage",Fresh vs Dried Curry Leaves: What Changes in Cooking?,"Fresh vs dried curry leaves compared for flavour, tempering, storage and swap ratios, with practical advice for Australian home cooks.",LocalBusiness|HealthFoodStore|Article|BreadcrumbList,YES,2026-09-14,15,INFORMATIONAL,FRESH VS DRIED CURRY LEAVES,YES — PRIORITY BASELINE,YES — QUERY × PAGE DATA,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/blog/curry-leaves-vs-curry-powder-difference-explained-2026,200,INDEXABLE,https://nutrithrive.com.au/blog/curry-leaves-vs-curry-powder-difference-explained-2026,Curry Leaves vs Curry Powder: Not the Same,Curry Leaves vs Curry Powder: Not the Same,"Curry leaves and curry powder aren&#39;t the same thing. Here&#39;s the real difference in flavour, use, and why recipes specify one.",LocalBusiness|HealthFoodStore|Article|BreadcrumbList,YES,2026-09-14,11,INFORMATIONAL,CURRY LEAVES VS CURRY POWDER,YES — PRIORITY BASELINE,YES — QUERY × PAGE DATA,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/blog/how-to-store-curry-leaves-fresh-dried-australia-2026,200,INDEXABLE,https://nutrithrive.com.au/blog/how-to-store-curry-leaves-fresh-dried-australia-2026,How to Store Curry Leaves (Fresh &amp; Dried),How to Store Curry Leaves (Fresh & Dried),"The right way to store fresh and dried curry leaves in Australia&#39;s climate, so they don&#39;t lose flavour or go mouldy. Read the practical NutriThrive guide.",LocalBusiness|HealthFoodStore|Article|BreadcrumbList,YES,2026-09-15,21,INFORMATIONAL,HOW TO STORE CURRY LEAVES,YES — PRIORITY BASELINE,YES — QUERY × PAGE DATA,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,200,INDEXABLE,https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,How to Brew Darjeeling Tea Perfectly,How to Brew Darjeeling Tea Perfectly,"Water temperature, steep time, and the one mistake that ruins Darjeeling tea. Brew it perfectly every time. Practical Australian guidance from NutriThrive.",LocalBusiness|HealthFoodStore|Article|BreadcrumbList,YES,2026-09-15,21,INFORMATIONAL,HOW TO BREW DARJEELING TEA,YES — DISCOVERY GAP,YES — QUERY × PAGE DATA,PROTECTED — INVENTORY ONLY
https://nutrithrive.com.au/blog/darjeeling-tea-vs-english-breakfast-comparison-2026,200,INDEXABLE,https://nutrithrive.com.au/blog/darjeeling-tea-vs-english-breakfast-comparison-2026,Darjeeling vs English Breakfast Tea | NutriThrive,"Darjeeling vs English Breakfast Tea: Flavour, Strength & Caffeine","Darjeeling vs English Breakfast: both black teas, very different cups. Flavour, caffeine, strength, and when to drink each.",LocalBusiness|HealthFoodStore|Article|BreadcrumbList,YES,2026-09-14,10,INFORMATIONAL,DARJEELING VS ENGLISH BREAKFAST,YES — DISCOVERY GAP,YES — QUERY × PAGE DATA,PROTECTED — INVENTORY ONLY
