Week,Target Publish Date,Topic / Working Title,Target Keyword,Content Type,Word Count Target,Status,Notes / Brief
1,2026-05-04,Moringa for Iron Deficiency: Australian Women's Complete Guide (2026),moringa iron deficiency australia,Guide,3000,Planned,"Cover: iron absorption from non-haem sources; moringa iron content (~28mg/100g dry leaf); pairing with vitamin C; who's most at risk in AU (women 18–50); GP test referral note. Link to: smart-moringa-daily-intake; moringa-calm-mind; is-moringa-legit"
2,2026-05-11,"Can You Take Too Much Moringa? Overdose Signs and Safe Limits (Australia 2026)",moringa too much overdose australia,Guide,2500,Planned,"Cover: safe daily dose range; signs of overconsumption (digestive, blood pressure); who should avoid high doses; TGA/FSANZ context; interaction with thyroid meds. Link to: smart-moringa-daily-intake; honest-australians-guide; science-shade-drying"
3,2026-05-18,"How to Store Moringa Powder: Australian Climate Guide to Keeping It Fresh",moringa storage australia,How-To,2000,Planned,"Cover: humidity and oxidation risk; Melbourne summer vs QLD; container types (glass vs plastic vs ziplock); fridge vs pantry; how to spot oxidised powder (brown/dull); batch code freshness check. Link to: how-to-read-batch-codes; moringa-quality-test; science-shade-drying"
4,2026-05-25,"Moringa for Inflammation: What the Research Says + Anti-Inflammatory Protocol",moringa inflammation australia,Guide,3000,Planned,"Cover: isothiocyanates and quercetin mechanisms; human study evidence (not just animal); what inflammation conditions show most signal; combining with turmeric or omega-3; what it won't do. Link to: moringa-calm-mind; is-moringa-legit; natural-heavy-metal-detox"
5,2026-06-01,5 Warming Moringa Recipes for Australian Winter 2026,moringa winter recipes australia,How-To / Recipes,2500,Planned,"Cover: bone broth moringa soup; golden moringa turmeric latte; moringa lentil stew; roasted pumpkin moringa pasta; moringa ginger hot chocolate. Each recipe card format with prep/cook time and protein count. Link to: high-protein-moringa-recipes; how-to-add-moringa; how-to-use-moringa-daily"
6,2026-06-08,"Moringa vs Whey Protein: Which Does Your Body Actually Need?",moringa vs whey protein australia,Comparison,3000,Planned,"Cover: amino acid profile comparison; bioavailability; use-case differences (muscle building vs micronutrient support); cost per gram; can you use both; what moringa actually delivers (not a protein replacement). Link to: high-protein-moringa-recipes; musashi-protein-powder; best-clean-protein"
7,2026-06-15,"Moringa for Menopause: Hormones, Hot Flushes, and Energy (Australia 2026)",moringa menopause australia,Guide,3000,Planned,"Cover: phytoestrogen content (low/nil — be honest); calcium and bone density; iron relevance post-perimenopause; energy and sleep during menopause; what clinical evidence exists; what it doesn't replace. Link to: moringa-calm-mind; smart-moringa-daily-intake; is-moringa-legit"
8,2026-06-22,"Complete Moringa Side Effects Guide: What's Real and What's Hype (Australia 2026)",moringa side effects australia,Guide,3000,Planned,"Cover: common (digestive adjustment); uncommon (blood pressure interaction, thyroid med interaction); rare; contraindications (pregnancy caution, warfarin); trusted sources. Honest and balanced — not a fear piece and not dismissive. Link to: is-moringa-legit; honest-australians-guide; smart-moringa-daily-intake"
9,2026-06-29,"Is Moringa Safe While Breastfeeding? What Australian Mothers Should Know",moringa breastfeeding safe australia,Guide,2500,Planned,"Cover: traditional galactagogue use; what limited research exists; TGA food-not-medicine classification; conservative dose note; what to ask GP; what concentrations are in breast milk. IMPORTANT: include clear medical disclaimer. Link to: smart-moringa-daily-intake; is-moringa-legit; honest-australians-guide"
10,2026-07-06,"Moringa for Skin and Hair: What Actually Works in Australia's Climate",moringa skin hair australia,Guide,2500,Planned,"Cover: vitamin A and skin turnover; zinc and hair growth; topical moringa oil vs powder; Melbourne UV and dry skin context; QLD humidity; what evidence exists for skin; anti-aging claims reality check. Link to: moringa-calm-mind; how-to-use-moringa-daily; where-to-buy-moringa"
11,2026-07-13,"Moringa for Athletes: Iron, Recovery, and Performance Nutrition (Australia)",moringa athletes performance australia,Guide,3000,Planned,"Cover: iron for endurance athletes (female athlete triad context); anti-inflammatory recovery role; pre/post-workout timing; combining with protein sources; real athlete case examples or testimonials; what it doesn't replace (creatine, caffeine, electrolytes). Link to: high-protein-moringa-recipes; musashi-protein-powder; natural-heavy-metal-detox"
12,2026-07-20,Q3 Content Refresh Sprint — Update 6 Highest-Ranking Posts,—,Refresh,—,Planned,"Refresh target list: moringa-brands-comparison; moringa-vs-coffee; moringa-vs-spirulina-matcha; moringa-powder-guide; where-to-buy-moringa; moringa-melbourne-complete-guide. Update: pricing; dates; internal links; add any new schema. Also: fix meta descriptions flagged in content inventory (7 posts with weak meta)"
