source_url,configured_destination,configured_status,source_rule_line,crawl_attempted,crawl_timestamp,crawl_result,crawl_error,HTTP_status,redirect_hops,redirect_chain,final_URL,final_status,canonical_live,robots_meta,x_robots_tag,robots_txt_allowed,sitemap_present,internal_link_usage,source_local_state,live_local_discrepancy,notes
https://nutrithrive.com.au/blog/index-directory.partial,https://nutrithrive.com.au/blog,301,24,YES,2026-09-15T10:39:50+00:00,SUCCESS,,301,1,301:https://nutrithrive.com.au/blog/index-directory.partial -> 200:https://nutrithrive.com.au/blog,https://nutrithrive.com.au/blog,200,https://nutrithrive.com.au/blog,"index, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/index-directory.partial.html,https://nutrithrive.com.au/blog,301,25,YES,2026-09-15T10:39:50+00:00,SUCCESS,,301,1,301:https://nutrithrive.com.au/blog/index-directory.partial.html -> 200:https://nutrithrive.com.au/blog,https://nutrithrive.com.au/blog,200,https://nutrithrive.com.au/blog,"index, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026.html,https://nutrithrive.com.au/404.html,410,68,YES,2026-09-15T10:39:50+00:00,SUCCESS,,410,0,410:https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026.html,https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026.html,410,https://nutrithrive.com.au/404,"noindex, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026,https://nutrithrive.com.au/404.html,410,69,YES,2026-09-15T10:39:50+00:00,SUCCESS,,410,0,410:https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026,https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026,410,https://nutrithrive.com.au/404,"noindex, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026.html,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,301,73,YES,2026-09-15T10:39:50+00:00,SUCCESS,,301,1,301:https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026.html -> 200:https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,200,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,"index, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026.html,200,74,YES,2026-09-15T10:39:50+00:00,SUCCESS,,200,0,200:https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,200,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,"index, follow",,YES,YES,41,tracked content file,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/moringa-honest-truth-science-australia-2026.html,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,301,77,YES,2026-09-15T10:39:50+00:00,SUCCESS,,301,1,301:https://nutrithrive.com.au/blog/moringa-honest-truth-science-australia-2026.html -> 200:https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,200,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,"index, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/moringa-honest-truth-science-australia-2026,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,301,78,YES,2026-09-15T10:39:50+00:00,SUCCESS,,301,1,301:https://nutrithrive.com.au/blog/moringa-honest-truth-science-australia-2026 -> 200:https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,200,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,"index, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/moringa-powder-benefits-women-skin-side-effects-australia-2026.html,https://nutrithrive.com.au/404.html,410,81,YES,2026-09-15T10:39:50+00:00,SUCCESS,,410,0,410:https://nutrithrive.com.au/blog/moringa-powder-benefits-women-skin-side-effects-australia-2026.html,https://nutrithrive.com.au/blog/moringa-powder-benefits-women-skin-side-effects-australia-2026.html,410,https://nutrithrive.com.au/404,"noindex, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
https://nutrithrive.com.au/blog/moringa-powder-benefits-women-skin-side-effects-australia-2026,https://nutrithrive.com.au/404.html,410,82,YES,2026-09-15T10:39:50+00:00,SUCCESS,,410,0,410:https://nutrithrive.com.au/blog/moringa-powder-benefits-women-skin-side-effects-australia-2026,https://nutrithrive.com.au/blog/moringa-powder-benefits-women-skin-side-effects-australia-2026,410,https://nutrithrive.com.au/404,"noindex, follow",,YES,NO,0,redirect rule only,,Read-only verification; no redirect changed.
