AUTOMATED QUALITY FLAGS — Import to Google Sheets and filter by Flag column,,,,,
Run this as a filter view: Data > Create filter view > Filter Flag column by "YES",,,,,
,,,,,
Flag Type,URL,Title,Detail,Recommended Fix,Priority
NO_FAQ,/blog/how-to-add-moringa-to-diet.html,How to Add Moringa to Your Diet,"7771 words with no FAQ section or FAQPage schema — largest missed opportunity on site","Add 5-item FAQ accordion + FAQPage JSON-LD schema",High
NO_FAQ,/blog/nutrithrive-dried-curry-leaves-tradition-health.html,Natural Curry Leaves Australia: Farm Story,"5233 words with no FAQ — strong E-E-A-T content missing structured data","Add 5-item FAQ accordion + FAQPage JSON-LD schema",High
NO_FAQ,/blog/plant-based-functional-foods-australia-wellness-nutrithrive-2026.html,Top 5 Australian Plant Superfoods,"4869 words with no FAQ — good word count but missing FAQ schema for rich snippets","Add 5-item FAQ accordion + FAQPage JSON-LD schema",Medium
NO_FAQ,/blog/smart-moringa-daily-intake-australia-visual-guide-2026.html,Moringa Dose Australia 2026 | Visual Safe-Use Guide,"Popular topic (daily dose) with no FAQ — losing rich snippet potential","Add FAQ section + FAQPage JSON-LD schema",High
NO_FAQ,/blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder.html,Why I Build NutriThrive: Melbourne Moringa Made Properly,"Brand trust page with no FAQ and only 2 internal links — urgent","Add FAQ section; add 10+ internal links throughout body",High
NO_FAQ,/blog/buy-moringa-powder-melbourne-victoria-chinese-guide.html,2026维州买辣木粉，"Chinese-language post with no FAQ or FAQPage schema","Add Chinese FAQ section + FAQPage schema",Medium
NO_FAQ,/blog/moringa-brands-comparison-australia-chinese-review.html,澳洲辣木粉避坑指南 2026,"Chinese comparison post with no FAQ","Add Chinese FAQ section + FAQPage schema",Medium
LOW_LINKS,/blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder.html,Why I Build NutriThrive: Melbourne Moringa Made Properly,"Only 2 internal links on the brand story page — severely under-linked","Add 10+ contextual links to product posts and blog posts",High
LOW_LINKS,/blog/how-to-use-moringa-powder-daily-without-the-bad-taste-2026.html,Use Moringa Powder Daily: Mask the Bitter Taste,"6 internal links on a 1461-word post — needs more depth and links","Expand post to 2500+ words; add 6+ more contextual links",High
LOW_LINKS,/blog/growing-moringa-australia-honest-frost-pots-2026.html,Growing Moringa in Australia: Frost Pots & Harvest Guide,"5009 words but only 5 internal links — isolation issue for content cluster","Add links to Melbourne growers report; moringa buying guide; where-to-buy",Medium
