URL,CURRENT_DATE_PUBLISHED,CURRENT_DATE_MODIFIED,VISIBLE_DATE,GIT_FIRST_RELIABLE_DATE,GIT_LAST_MEANINGFUL_CONTENT_DATE,OTHER_PUBLISHING_EVIDENCE,PROPOSED_DATE_PUBLISHED,PROPOSED_DATE_MODIFIED,CONFIDENCE,SAFE_TO_IMPLEMENT
https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,,,,2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/best-time-to-take-moringa-powder-morning-or-night-2026,,,,2026-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,,,,2026-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,,,,2026-07-07,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/chronic-fatigue-what-actually-fixed-it-2026,,,,2026-05-16,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/cortisol-cocktail-trend-explained-moringa-2026,,,,2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/curry-leaves-health-benefits-what-the-evidence-says-2026,,2026-08-31,2026-08-31; 31 Aug 2026 | Tightened evidence language; separated food from extract/animal research; removed unsourced outcome claims.,2026-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/cystic-acne-gut-healing-what-actually-cleared-skin-2026,,,,2026-05-16,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/darjeeling-black-tea-australia-first-flush-second-flush-guide-2026,,,,2026-06-21,2026-09-15,Pre-existing uncommitted edit; no verified publication record,,,LOW — DIRTY OVERLAP,NO
https://nutrithrive.com.au/blog/glp-1-ozempic-nutrition-gaps-what-to-eat-2026,,,,2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/grow-moringa-tree-australia,,,,2025-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/high-protein-moringa-recipes-australia-2026,,,,2026-03-12,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/how-long-does-moringa-powder-last-storage-shelf-life-2026,,2026-09-03,"2026-09-03; 3 Sep 2026 | Shelf-life refresh on this same URL. Opened window aligned to the live PDP (use within 18 months). Australian spring heat, fridge condensati",2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/how-much-caffeine-in-darjeeling-tea-vs-coffee-green-tea-2026,,2026-08-31,2026-08-31; 31 Aug 2026 | Added a short section on caffeinated tea before bed after consolidating the cutoff-time article.,2026-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/how-much-caffeine-safe-per-day-australia-fsanz-2026,,,,2026-08-01,2026-09-14,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/how-to-add-moringa-to-diet,,,,2025-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,,,,2026-05-20,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/how-to-read-moringa-batch-codes-freshness,,,,2026-03-07,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/iron-deficiency-australian-women-symptoms-plant-based-sources-2026,,,,2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/is-moringa-safe-for-dogs-benefits-dosage-australia-2026,,,,2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-30-day-challenge-honest-results,,,,2026-07-26,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-and-berberine-australia-what-science-says-2026,,,,2026-06-18,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-and-blood-sugar-diabetes-research-2026,,,,2026-06-21,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-benefits-for-women-comprehensive-2026,,,,2026-05-17,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-brands-comparison-australia-2026,,,,2025-09-25,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-calm-mind-stress-brain-fog-cortisol-science-2026,,2026-07-27,2026-07-27; 27 Jul 2026 | Rebuilt as blog-v2 article; removed off-topic FAQ blocks; cortisol cluster hub restored.,2026-01-16,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-chemist-warehouse-vs-nutrithrive-quality-test-2025,,2026-09-02,2026-09-02; 2 Sep 2026 | Capsule vs powder refresh on this same URL. Live Forest Super Foods 120-cap Chemist Warehouse listing at $79. NutriThrive powder from $11/10,2025-12-06,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-for-breastfeeding-milk-supply-2026,,,,2026-06-22,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-heavy-metals-lab-testing-australia-what-to-look-for-2026,,,,2026-06-25,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-oil-benefits-skin-hair-health-2026,,2026-08-31,"2026-08-31; 31 Aug 2026 | Clarified seed oil vs leaf powder. Removed unsupported composition, sun/pollution, and hair-growth claims. Stated that NutriThrive does not ",2026-05-20,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-patches-australia-review-do-they-work,,,,2026-06-18,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-powder-victoria-seniors-joint-health,,,,2025-12-06,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-pregnancy-safe-australia-trimester-guide-2026,,,,2026-06-25,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-side-effects-what-happens-take-too-much-2026,,,,2026-05-20,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-vs-coffee-melbourne-energy-hack,,,,2025-12-07,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/moringa-vs-spirulina-vs-matcha-comparison-australia,,,,2025-12-05,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/natural-pre-workout-moringa-australia-2026,,,,2026-03-06,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/rosabella-moringa-reviews-legit-or-overhyped-2026,,,,2026-03-26,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/science-shade-drying-vs-sun-drying-moringa,,,,2026-03-07,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,,,,2026-05-12,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
https://nutrithrive.com.au/blog/why-premium-moringa-costs-11-not-25-value-vs-markup-2026,,,,2026-05-12,2026-09-15,Git dates show repository history only; no verified public publication date,,,LOW,NO
