cluster,query,intent,current_best_url,current_visibility,best_answer_format,required_evidence,commercial_bridge,update_or_consolidate_or_create,priority,rationale,do_not_do,confidence
Curry leaves,dried curry leaves Australia,Mixed commercial/informational,https://nutrithrive.com.au/blog/dried-curry-leaves-australia-guide,"Bing ~#1; DDG PDP ~#1",Short definition plus buy/store/use jump links,"Pack size origin storage guidance and current price",Contextual link to curry PDP,Update,P1,Already strong; protect and improve freshness rather than create a competing page,Do not create another dried-curry-leaves guide,Medium
Curry leaves,buy curry leaves Australia,Transactional,https://nutrithrive.com.au/products/curry-leaves/,"Bing not observed top 10; DDG ~#3",Product availability price pack size shipping and delivery,"Live price stock product photos origin and verified shipping",Direct add-to-cart/PDP,Update,P0,High commercial gap; PDP exists and should own intent,Do not retarget pillar guide as a second PDP,Medium
Curry leaves,curry leaf substitute,Informational with recovery purchase,https://nutrithrive.com.au/blog/curry-leaves-substitute-what-to-use-2026,"Bing ~#3; DDG not observed",Ranked substitute table with ratios limitations and when to buy real leaves,"Kitchen-tested ratios or clearly labelled editorial guidance",Soft curry PDP bridge,Update,P1,Good Bing visibility and share value,Do not add health claims,Medium
Curry leaves,fresh vs dried curry leaves,Comparison,https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,"Bing ~#2; DDG not observed",Side-by-side flavour tempering storage and substitution table,"Practical method and limits of ratios",Curry PDP for pantry-ready option,Update,P1,Existing exact-intent winner,Do not merge into broad curry pillar while ranking,Medium
Curry leaves,curry leaves vs curry powder,Definition/comparison,https://nutrithrive.com.au/blog/curry-leaves-vs-curry-powder-difference-explained-2026,"Bing ~#2; DDG not observed",One-sentence distinction plus use cases,"Ingredient definitions and cooking examples",Curry PDP only after answer,Update,P1,Clear intent and strong Bing position,Do not add another difference page,Medium
Curry leaves,how to store curry leaves,Informational,https://nutrithrive.com.au/blog/how-to-store-curry-leaves-fresh-dried-australia-2026,"Bing ~#8; DDG not observed",Fresh/fridge/freezer/dried decision table,"Food-safety-safe storage guidance and observed durations",Curry PDP for dried shelf-stable option,Update,P1,Existing page can climb without a new URL,Do not promise universal expiry dates,Medium
Darjeeling,Darjeeling tea Australia,Mixed,https://nutrithrive.com.au/blog/darjeeling-black-tea-australia-guide,"Bing ~#3; DDG not observed",Buying and brewing overview with clear product route,"Origin packing price and brew facts",Tea PDP,Update,P1,Guide owns broad intent; PDP should own purchase,Do not create another Australia guide,Medium
Darjeeling,buy Darjeeling tea Australia,Transactional,https://nutrithrive.com.au/products/black-tea/,"Bing guide ~#3; DDG not observed",Product price size origin tasting notes shipping and availability,"Verified sourcing batch/estate detail where available",Direct tea PDP,Update,P0,PDP missing while editorial guide ranks,Do not invent estate/certification provenance,Medium
Darjeeling,how to brew Darjeeling tea,Informational,https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,Not observed top 10 in samples,Temperature/time/leaf amount table plus troubleshooting,"Tea authority or first-party repeatable brew method",Soft tea PDP link,Update,P0,Dedicated page exists but discovery is weak,Do not create a duplicate brewing page,Medium
Darjeeling,Darjeeling vs English breakfast,Comparison,https://nutrithrive.com.au/blog/darjeeling-tea-vs-english-breakfast-comparison-2026,"Bing broad guide ~#10; DDG not observed",Side-by-side origin flavour strength milk and brew table,"Source definitions and sensory method",Tea PDP after comparison,Update,P1,Dedicated page should own exact comparison if indexable,Do not cannibalise broad Australia guide,Medium
Darjeeling,Darjeeling tea caffeine,Informational,https://nutrithrive.com.au/blog/how-much-caffeine-in-darjeeling-tea-vs-coffee-green-tea-2026,"Bing ~#4; DDG not observed",Range with serving size variables and cited source,"Primary/authoritative caffeine sources and explicit uncertainty",Tea PDP with contains-caffeine warning,Update,P1,Good Bing visibility; improve citation safety,Do not give individual safe-dose advice,Medium
Moringa,moringa powder Australia,Transactional,https://nutrithrive.com.au/products/moringa-powder/,"Bing ~#4; DDG not observed",Product proof price sizes NMI link origin taste storage and shipping,"NMI PDF real product data and product-specific reviews only",Direct PDP,Update,P0,Largest commercial non-brand opportunity,Do not add unsupported organic/TGA claims,Medium
Moringa,NutriThrive moringa,Branded/navigation,https://nutrithrive.com.au/products/moringa-powder/,"Bing homepage ~#1/PDP ~#2; DDG PDP ~#1",Concise entity plus product facts,"Consistent ABN address social profiles and NMI evidence",PDP/shop,Update,P2,Already strong; monitor entity consistency,Do not create a branded doorway page,High
Moringa,moringa powder shelf life,Informational,https://nutrithrive.com.au/blog/how-long-does-moringa-powder-last-storage-shelf-life-2026,"Bing ~#2; DDG not observed",Opened vs sealed storage and quality signs,"Current pack date policy and food-quality caveat",Fresh pack PDP link,Update,P1,Protect Bing result and repair Article publication date,Do not turn quality signs into medical safety claims,Medium
Moringa,how to choose moringa powder Australia,Commercial investigation,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,"Bing ~#1; DDG verify ~#2",Checklist for colour ingredient batch testing origin and price per 100g,"NMI evidence dated competitor facts and visible commercial-interest disclosure",PDP after checklist,Update,P1,Strong cluster with choose and verify roles,Do not create another best-moringa checklist,Medium
