url,page_role,answer_clarity,first_party_evidence,source_attribution,factual_consistency,author_info,date_freshness,entity_clarity,product_info,provenance,external_sourcing,commercial_bias_handling,compliance_safety,total_120,average_10,main_evidence,main_gap,recommendation,confidence
https://nutrithrive.com.au/products/curry-leaves/,Curry PDP,9,7,5,6,3,3,9,10,8,4,6,7,77,6.4,"Clear price origin usage and shipping facts","Business-wide moringa reviews are repeated on curry PDP; no product-specific review data; no author/date expected for PDP","Keep direct facts; validate testimonials and add only verified product provenance",High
https://nutrithrive.com.au/blog/dried-curry-leaves-australia-guide,Curry pillar guide,9,7,5,9,8,8,9,8,7,4,7,8,89,7.4,"Direct Australia-specific buy/store/use coverage; author and dates present","Limited independent primary sourcing","Add a small source note only where factual claims require it; keep page role broad",High
https://nutrithrive.com.au/blog/curry-leaves-substitute-what-to-use-2026,Curry substitute guide,9,6,5,9,8,8,9,7,6,4,7,8,86,7.2,"Exact-intent answer with practical swaps and ratios","Most advice is editorial experience without explicit method provenance","Clarify tested-vs-editorial ratios and retain the curry PDP bridge",High
https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,Curry comparison guide,9,6,5,8,8,8,9,7,6,4,7,8,85,7.1,"Clear comparison intent; author and dates present","Title and H1 vary; limited outside sourcing","Keep one comparison role and explain any ratio as kitchen guidance rather than universal fact",High
https://nutrithrive.com.au/blog/curry-leaves-vs-curry-powder-difference-explained-2026,Curry definition guide,10,6,5,9,8,8,9,7,6,4,8,9,89,7.4,"Very clear distinction and focused intent","Only light external corroboration","Maintain answer-first definition and cite a culinary authority if expanding",High
https://nutrithrive.com.au/products/black-tea/,Tea PDP,9,6,5,8,3,3,9,10,7,4,6,8,78,6.5,"Clear price origin brew method and caffeine range","Business-wide reviews are repeated; product sourcing evidence is described but not independently linked","Add verified estate/farm or batch provenance if available; do not invent certification",High
https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,Darjeeling brewing guide,9,6,5,9,8,8,9,7,6,4,7,8,86,7.2,"Focused brew temperature/time guidance with author/date","Few authoritative tea references and low Bing/DDG visibility","Validate index freshness first; add sourcing only for objective temperature/caffeine claims",High
https://nutrithrive.com.au/products/moringa-powder/,Moringa PDP,10,9,8,7,3,3,9,10,9,6,7,9,90,7.5,"NMI PDF above fold; sizes price origin and non-organic disclosure are explicit","AggregateRating marks business-wide reviews as Product rating despite visible non-product-specific disclosure","Validate/remove Product aggregateRating unless each rating is evidenced for this product",High
https://nutrithrive.com.au/blog/how-long-does-moringa-powder-last-storage-shelf-life-2026,Moringa shelf-life guide,9,7,6,8,8,3,9,8,7,5,7,8,85,7.1,"Specific storage answer and current pack guidance","Article JSON-LD lacks datePublished","Recover and add verified publication date; separate pack guidance from general food-quality advice",High
https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,Moringa buying checklist,9,8,7,8,8,3,9,8,8,6,7,8,89,7.4,"NMI and practical inspection criteria support commercial comparison","Article JSON-LD lacks publication and modification dates; competitor facts can age","Add verified dates and a visible checked-on date for price/availability comparisons",High
