audit_date,data_as_of_date,live_verified_at,article_id,current_url,normalized_url,title,source_file,source_of_truth,tracked_in_git,content_source_type,build_managed,deployment_only,live_status,live_final_url,canonical_live,canonical_local,indexability_live,x_robots_tag,robots_meta,robots_txt_allowed,sitemap_status,internal_link_status,blog_index_status,metadata_registry_status,article_cluster,primary_intent,primary_query_family,secondary_query_family,query_family_evidence,product_cluster,recent_gsc_source,recent_clicks,recent_impressions,recent_ctr,recent_position,long_gsc_source,long_clicks,long_impressions,long_ctr,long_position,page_query_data_available,seo_opportunity_score,available_weight_percentage,seo_score_confidence,hypothesis_sales_potential,sales_evidence_type,sales_confidence,lifecycle_status,compliance_gate,seo_action,sales_action,cannibalization_cluster,cannibalization_confidence,proposed_winner,redirect_candidate_destination,backlink_data_available,retirement_confidence,stale_commercial_issue,commercial_value_type,current_blog_to_product_funnel,content_quality_flags,structured_data_status,structured_data_errors,priority,last_major_change_date,lock_status,next_review_date,manual_review_required,notes
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,30-different-plants-per-week-gut-health-microbiome-2026,https://nutrithrive.com.au/blog/30-different-plants-per-week-gut-health-microbiome-2026,https://nutrithrive.com.au/blog/30-different-plants-per-week-gut-health-microbiome-2026,The 30-Plants-a-Week Gut Health Rule,site/blog/30-different-plants-per-week-gut-health-microbiome-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/30-different-plants-per-week-gut-health-microbiome-2026,https://nutrithrive.com.au/blog/30-different-plants-per-week-gut-health-microbiome-2026,https://nutrithrive.com.au/blog/30-different-plants-per-week-gut-health-microbiome-2026,YES,,"index, follow",YES,PRESENT,9 incoming internal links,PRESENT,PRESENT,GENERAL,PROBLEM_SOLVING,The 30-Plants-a-Week Gut Health Rule,DATA UNAVAILABLE,URL_TITLE_INFERENCE,GENERAL,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,2.5,45%,LOW,4.2,INTENT_HYPOTHESIS_ONLY,LOW,IMPROVE,REVIEW_REQUIRED,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P2,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,afl-finals-snacks-curry-leaf-tadka,https://nutrithrive.com.au/blog/afl-finals-snacks-curry-leaf-tadka,https://nutrithrive.com.au/blog/afl-finals-snacks-curry-leaf-tadka,"AFL Finals Snacks: Curry-Leaf Tadka, Packed in Truganina",site/blog/afl-finals-snacks-curry-leaf-tadka.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/afl-finals-snacks-curry-leaf-tadka,https://nutrithrive.com.au/blog/afl-finals-snacks-curry-leaf-tadka,https://nutrithrive.com.au/blog/afl-finals-snacks-curry-leaf-tadka,YES,,"index, follow",YES,PRESENT,4 incoming internal links,PRESENT,PRESENT,CURRY,INFORMATIONAL,"AFL Finals Snacks: Curry-Leaf Tadka, Packed in Truganina",DATA UNAVAILABLE,URL_TITLE_INFERENCE,CURRY,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,3.5,45%,LOW,7.6,INTENT_HYPOTHESIS_ONLY,LOW,LOW_PRIORITY,CLEAR,No active work,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P3,UNKNOWN,MEASURING,2026-10-13,NO,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,ag1-alternative-australia-moringa-comparison-2026,https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,AG1 Alternative Australia: AG1 vs Moringa Compared,site/blog/ag1-alternative-australia-moringa-comparison-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,https://nutrithrive.com.au/blog/ag1-alternative-australia-moringa-comparison-2026,YES,,"index, follow",YES,PRESENT,9 incoming internal links,PRESENT,PRESENT,MORINGA,COMPARISON,AG1 Alternative Australia: AG1 vs Moringa Compared,DATA UNAVAILABLE,URL_TITLE_INFERENCE,MORINGA,nutrithrive.com.au-Performance-on-Search-2026-09-08.xlsx (3-month question-filtered view),0.0,27.0,0.0,6.37,nutrithrive.com.au-Performance-on-Search-2026-09-08 (1).xlsx (12-month commercial-filtered view),3.0,253.0,0.011899999999999999,8.91,NO,8.0,65%,MEDIUM,8.0,INTENT_HYPOTHESIS_ONLY,LOW,IMPROVE,REVIEW_REQUIRED,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P2,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,best-anti-inflammatory-foods-australia-daily-guide-2026,https://nutrithrive.com.au/blog/best-anti-inflammatory-foods-australia-daily-guide-2026,https://nutrithrive.com.au/blog/best-anti-inflammatory-foods-australia-daily-guide-2026,Anti-Inflammatory Foods Australia | Daily Plate Guide,site/blog/best-anti-inflammatory-foods-australia-daily-guide-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/best-anti-inflammatory-foods-australia-daily-guide-2026,https://nutrithrive.com.au/blog/best-anti-inflammatory-foods-australia-daily-guide-2026,https://nutrithrive.com.au/blog/best-anti-inflammatory-foods-australia-daily-guide-2026,YES,,"index, follow",YES,PRESENT,50 incoming internal links,PRESENT,PRESENT,GENERAL,COMPARISON,Anti-Inflammatory Foods Australia | Daily Plate Guide,DATA UNAVAILABLE,URL_TITLE_INFERENCE,GENERAL,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,2.5,45%,LOW,4.2,INTENT_HYPOTHESIS_ONLY,LOW,IMPROVE,REVIEW_REQUIRED,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P2,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,best-plant-based-iron-foods-australia-absorption-guide-2026,https://nutrithrive.com.au/blog/best-plant-based-iron-foods-australia-absorption-guide-2026,https://nutrithrive.com.au/blog/best-plant-based-iron-foods-australia-absorption-guide-2026,Best Plant-Based Iron Foods (and How to Absorb More),site/blog/best-plant-based-iron-foods-australia-absorption-guide-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/best-plant-based-iron-foods-australia-absorption-guide-2026,https://nutrithrive.com.au/blog/best-plant-based-iron-foods-australia-absorption-guide-2026,https://nutrithrive.com.au/blog/best-plant-based-iron-foods-australia-absorption-guide-2026,YES,,"index, follow",YES,PRESENT,11 incoming internal links,PRESENT,PRESENT,GENERAL,PROBLEM_SOLVING,Best Plant-Based Iron Foods (and How to Absorb More),DATA UNAVAILABLE,URL_TITLE_INFERENCE,GENERAL,nutrithrive.com.au-Performance-on-Search-2026-09-08.xlsx (3-month question-filtered view),0.0,1.0,0.0,62.0,DATA UNAVAILABLE,,,,,NO,4.5,65%,MEDIUM,3.8,INTENT_HYPOTHESIS_ONLY,LOW,IMPROVE,REVIEW_REQUIRED,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P2,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,best-time-to-take-moringa-powder-morning-or-night-2026,https://nutrithrive.com.au/blog/best-time-to-take-moringa-powder-morning-or-night-2026,https://nutrithrive.com.au/blog/best-time-to-take-moringa-powder-morning-or-night-2026,Moringa: Morning or Night? The Honest Answer,site/blog/best-time-to-take-moringa-powder-morning-or-night-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/best-time-to-take-moringa-powder-morning-or-night-2026,https://nutrithrive.com.au/blog/best-time-to-take-moringa-powder-morning-or-night-2026,https://nutrithrive.com.au/blog/best-time-to-take-moringa-powder-morning-or-night-2026,YES,,"index, follow",YES,PRESENT,13 incoming internal links,PRESENT,PRESENT,MORINGA,INFORMATIONAL,Moringa: Morning or Night? The Honest Answer,DATA UNAVAILABLE,URL_TITLE_INFERENCE,MORINGA,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,3.2,45%,LOW,7.4,INTENT_HYPOTHESIS_ONLY,LOW,LOW_PRIORITY,REVIEW_REQUIRED,No active work,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P3,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,blood-sugar-spikes-how-to-avoid-through-food-2026,https://nutrithrive.com.au/blog/blood-sugar-spikes-how-to-avoid-through-food-2026,https://nutrithrive.com.au/blog/blood-sugar-spikes-how-to-avoid-through-food-2026,How to Avoid Blood Sugar Spikes: Food Tricks,site/blog/blood-sugar-spikes-how-to-avoid-through-food-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/blood-sugar-spikes-how-to-avoid-through-food-2026,https://nutrithrive.com.au/blog/blood-sugar-spikes-how-to-avoid-through-food-2026,https://nutrithrive.com.au/blog/blood-sugar-spikes-how-to-avoid-through-food-2026,YES,,"index, follow",YES,PRESENT,12 incoming internal links,PRESENT,PRESENT,GENERAL,PROBLEM_SOLVING,How to Avoid Blood Sugar Spikes: Food Tricks,DATA UNAVAILABLE,URL_TITLE_INFERENCE,GENERAL,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,2.2,45%,LOW,4.0,INTENT_HYPOTHESIS_ONLY,LOW,IMPROVE,BLOCKED_PENDING_REVIEW,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P2,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,can-you-drink-darjeeling-tea-every-day-2026,https://nutrithrive.com.au/blog/can-you-drink-darjeeling-tea-every-day-2026,https://nutrithrive.com.au/blog/can-you-drink-darjeeling-tea-every-day-2026,Can You Drink Darjeeling Tea Every Day?,site/blog/can-you-drink-darjeeling-tea-every-day-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/can-you-drink-darjeeling-tea-every-day-2026,https://nutrithrive.com.au/blog/can-you-drink-darjeeling-tea-every-day-2026,https://nutrithrive.com.au/blog/can-you-drink-darjeeling-tea-every-day-2026,YES,,"index, follow",YES,PRESENT,8 incoming internal links,PRESENT,PRESENT,DARJEELING,INFORMATIONAL,Can You Drink Darjeeling Tea Every Day?,DATA UNAVAILABLE,URL_TITLE_INFERENCE,DARJEELING,nutrithrive.com.au-Performance-on-Search-2026-09-08.xlsx (3-month question-filtered view),0.0,7.0,0.0,31.57,DATA UNAVAILABLE,,,,,NO,6.1,65%,MEDIUM,7.3,INTENT_HYPOTHESIS_ONLY,LOW,LOW_PRIORITY,REVIEW_REQUIRED,No active work,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P3,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,can-you-use-dried-curry-leaves-for-hair-2026,https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,Curry Leaves for Hair: What Actually Works,site/blog/can-you-use-dried-curry-leaves-for-hair-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,https://nutrithrive.com.au/blog/can-you-use-dried-curry-leaves-for-hair-2026,YES,,"index, follow",YES,PRESENT,19 incoming internal links,PRESENT,PRESENT,CURRY,PROBLEM_SOLVING,Curry Leaves for Hair: What Actually Works,DATA UNAVAILABLE,URL_TITLE_INFERENCE,CURRY,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,3.8,45%,LOW,7.6,INTENT_HYPOTHESIS_ONLY,LOW,IMPROVE,CLEAR,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P2,UNKNOWN,MEASURING,2026-10-13,NO,GSC metrics are filtered views and must not be treated as total page traffic.
2026-09-15,2026-09-08 (latest available file),2026-09-15T10:39:50+00:00,cant-lose-weight-broken-gut-what-actually-worked-2026,https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,Couldn't Lose Weight? What Actually Worked,site/blog/cant-lose-weight-broken-gut-what-actually-worked-2026.html,tracked_content,YES,tracked HTML content,YES,NO,200,https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,YES,,"index, follow",YES,PRESENT,4 incoming internal links,PRESENT,PRESENT,GENERAL,BROAD_WEAK_ALIGNMENT,Couldn't Lose Weight? What Actually Worked,DATA UNAVAILABLE,URL_TITLE_INFERENCE,GENERAL,DATA UNAVAILABLE,,,,,DATA UNAVAILABLE,,,,,NO,2.0,45%,LOW,4.0,INTENT_HYPOTHESIS_ONLY,LOW,LOW_PRIORITY,BLOCKED_PENDING_REVIEW,No active work,Measure blog_product_click and downstream GA4 events,,INSUFFICIENT_DATA,,,NO,INSUFFICIENT_BACKLINK_DATA,,,GOOD,,PRESENT,,P3,UNKNOWN,MEASURING,2026-10-13,YES,GSC metrics are filtered views and must not be treated as total page traffic.
