file,canonical_ok,title_len,title_band_50_60,meta_desc_len,meta_band_150_160,h1_count,shop_link_first_200w,commercial_links_main,internal_blog_links_main,img_missing_alt_main,noindex,year_2026_hint,redirects_file_marks_404,h1_preview,canonical,notes
blog/10-dollar-superfood-replaced-200-supplement-stack-australia-2026.html,False,53,True,142,False,1,False,2,5,3,False,True,False,How a $10 Moringa Habit Replaced My $200 Supplement Stack,https://nutrithrive.com.au/blog/10-dollar-superfood-replaced-200-supplement-stack-australia-2026,canonical_mismatch; meta_len=142; no_shop_link_first_200_words; commercial_links=2; img_missing_alt=3
blog/affordable-superfoods-organic-tax-marketplace-wellness-vic-nsw-qld-2026.html,False,54,True,147,False,2,False,5,11,3,False,True,False,Affordable Moringa 2026: Beat the Organic Tax in Australia,https://nutrithrive.com.au/blog/affordable-superfoods-organic-tax-marketplace-wellness-vic-nsw-qld-2026,h1_count=2; canonical_mismatch; meta_len=147; no_shop_link_first_200_words; img_missing_alt=3
blog/are-your-supplements-ultra-processed-hidden-fillers-australia-2026.html,False,53,True,148,False,1,False,9,13,0,False,True,False,Are Your Supplements Ultra‑Processed? The Hidden Fillers Australians Miss (2026),https://nutrithrive.com.au/blog/are-your-supplements-ultra-processed-hidden-fillers-australia-2026,canonical_mismatch; meta_len=148; no_shop_link_first_200_words
blog/best-greens-powder-australia-2026.html,False,42,False,168,False,1,False,5,8,3,False,True,False,I Compared Greens Powders in Australia — What I’d Buy Again,https://nutrithrive.com.au/blog/best-greens-powder-australia-2026,canonical_mismatch; title_len=42; meta_len=168; no_shop_link_first_200_words; img_missing_alt=3
blog/best-superfoods-australia-comparison-health-conscious-adults.html,False,55,True,156,True,1,False,21,10,3,False,True,False,Ten Superfoods Australians Actually Buy — And What I Skip,https://nutrithrive.com.au/blog/best-superfoods-australia-comparison-health-conscious-adults,canonical_mismatch; no_shop_link_first_200_words; img_missing_alt=3
blog/buy-moringa-powder-melbourne-victoria-chinese-guide.html,False,48,False,94,False,1,True,18,23,3,False,True,False,2026维州买辣木粉：墨尔本配送与选购要点,https://nutrithrive.com.au/blog/buy-moringa-powder-melbourne-victoria-chinese-guide,canonical_mismatch; title_len=48; meta_len=94; img_missing_alt=3
blog/cant-lose-weight-broken-gut-what-actually-worked-2026.html,False,49,False,178,False,1,False,5,8,3,False,True,False,Weight and Gut Health: What Finally Shifted for Me,https://nutrithrive.com.au/blog/cant-lose-weight-broken-gut-what-actually-worked-2026,canonical_mismatch; title_len=49; meta_len=178; no_shop_link_first_200_words; img_missing_alt=3
blog/chronic-fatigue-what-actually-fixed-it-2026.html,False,45,False,24,False,1,True,9,8,3,False,True,False,What Helped My Energy After Years of Feeling Flat,https://nutrithrive.com.au/blog/chronic-fatigue-what-actually-fixed-it-2026,canonical_mismatch; title_len=45; meta_len=24; img_missing_alt=3
blog/cortisol-belly-fat-couldnt-lose-stomach-melbourne-2026.html,False,45,False,22,False,1,True,8,8,3,False,True,False,"Cortisol, Belly Fat, and What Changed for Me in Melbourne",https://nutrithrive.com.au/blog/cortisol-belly-fat-couldnt-lose-stomach-melbourne-2026,canonical_mismatch; title_len=45; meta_len=22; img_missing_alt=3
blog/cystic-acne-gut-healing-what-actually-cleared-skin-2026.html,False,53,True,178,False,1,True,9,7,3,False,True,False,"Cystic Acne, Gut Health, and What Helped My Skin",https://nutrithrive.com.au/blog/cystic-acne-gut-healing-what-actually-cleared-skin-2026,canonical_mismatch; meta_len=178; img_missing_alt=3
