PAGE,IMAGE_URL,PURPOSE,ORIGINAL_OR_GENERATED,REAL_EVIDENCE_OR_DECORATIVE,ALT,WIDTH,HEIGHT,CRAWLABLE,INDEXABLE,PRODUCT_IMAGE,OG_IMAGE,MERCHANT_IMAGE,DESCRIPTIVE_FILENAME,CONTEXT_AROUND_IMAGE
/products/moringa-powder/,/assets/images/product_webp/moringa-powder-100g-main.webp,Primary product,UNCONFIRMED,PRODUCT PRESENTATION; provenance unconfirmed,Moringa Powder 100g product,1254,1254,YES,YES,YES,NO,CANDIDATE — account check,YES,Product name/price adjacent
/products/curry-leaves/,/assets/images/product_webp/dried-curry-leaves-30g-main.webp,Primary product,UNCONFIRMED,PRODUCT PRESENTATION; provenance unconfirmed,Dried Curry Leaves 30g product,1254,1254,YES,YES,YES,NO,CANDIDATE — account check,YES,Product name/price adjacent
/products/black-tea/,/assets/images/product_webp/darjeeling-black-tea-100g-main.webp,Primary product,UNCONFIRMED,PRODUCT PRESENTATION; provenance unconfirmed,Darjeeling Black Tea 100g product,1254,1254,YES,YES,YES,NO,CANDIDATE — account check,YES,Product name/price adjacent
/products/moringa-soap/,/assets/images/product_webp/moringa-soap-95g-main.webp,Primary product,UNCONFIRMED,PRODUCT PRESENTATION; provenance unconfirmed,Moringa Soap 95g product,1254,1254,YES,YES,YES,NO,CANDIDATE — account check,YES,Product name/price adjacent
/products/combo-pack/,/assets/images/product_webp/moringa-curry-leaves-combo-main.webp,Primary bundle,UNCONFIRMED,PRODUCT PRESENTATION; provenance unconfirmed,Moringa and curry leaves combo pack,1254,1254,YES,YES,YES,NO,CANDIDATE — must show full bundle,YES,Bundle details adjacent
/products/gift-pack/,/assets/images/product_webp/nutrithrive-four-product-gift-pack-main.webp,Primary bundle,UNCONFIRMED,PRODUCT PRESENTATION; provenance unconfirmed,NutriThrive four product gift pack,1254,1254,YES,YES,YES,NO,CANDIDATE — must show full bundle,YES,Bundle details adjacent
/,/assets/images/og/nutrithrive-share-1200x630.jpg,Social preview,UNCONFIRMED,DECORATIVE BRAND PREVIEW,NutriThrive products,1200,630,YES,YES,NO,YES,NO,YES,Homepage metadata
Darjeeling articles,/assets/images/og/black-tea-social-1200.jpg,Article/social,UNCONFIRMED,DECORATIVE UNTIL PROVEN,Darjeeling tea article,1024,1536,YES,YES,NO,YES,NO,PARTLY — generic,Article title nearby
Curry articles,/assets/images/homepage/product-showcase/Curry.webp,Article/product routing,UNCONFIRMED,DECORATIVE UNTIL PROVEN,Curry leaves,1024,1536,YES,YES,NO,SOMETIMES,NO,NO — generic,Article title nearby
Priority evidence pages,FOUNDER ASSET REQUIRED,Documentary proof,ORIGINAL REQUIRED,REAL EVIDENCE,Specific factual alt after asset exists,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,Do not use generated imagery as evidence
