page_a,page_b,query_overlap_0_3,intent_overlap_0_3,heading_overlap_0_3,answer_overlap_0_3,serp_role_overlap_0_3,commercial_role_overlap_0_3,risk_band,decision,rationale
PDP,Substitute,1,0,0,0,0,2,LOW,KEEP_SEPARATE,"PDP converts dried-leaf buyers; substitute page solves an ingredient gap and only routes authentic-product demand."
PDP,Fresh_vs_dried,2,1,1,1,1,2,LOW_MEDIUM,KEEP_SEPARATE,"Format comparison can support purchase but does not satisfy checkout intent."
PDP,Curry_vs_powder,1,0,0,0,0,1,LOW,KEEP_SEPARATE,"Definition query is distinct from transaction."
PDP,Storage,1,0,1,1,0,1,LOW,KEEP_SEPARATE,"Storage is mainly post-purchase support."
PDP,Recipes,1,0,0,0,0,2,LOW,KEEP_SEPARATE,"Recipe completion differs from product purchase."
PDP,Ways_to_use,1,1,1,1,1,2,LOW_MEDIUM,KEEP_SEPARATE,"Use ideas resolve objections but do not own buying terms."
PDP,Broad_guide,3,2,3,2,3,3,HIGH,NARROW_BROAD_GUIDE,"Both target dried curry leaves Australia and the guide explicitly owns buy/store/use. Reserve buy terms for PDP."
PDP,Farm_tradition_health,2,2,2,2,2,3,HIGH,NARROW_FARM_PAGE,"Farm page repeats product sourcing, buying and use content; restrict it to verifiable farm story and culinary tradition."
Substitute,Fresh_vs_dried,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"One solves absence; the other compares available formats."
Substitute,Curry_vs_powder,2,2,2,2,2,1,MEDIUM,BOUNDARY_LINK,"Both discuss what curry leaves are not. Curry-vs-powder should define; substitute should own replacements."
Substitute,Storage,0,0,0,0,0,0,LOW,KEEP_SEPARATE,"Different tasks."
Substitute,Recipes,1,0,0,0,0,1,LOW,KEEP_SEPARATE,"Recipe context is supporting detail only."
Substitute,Ways_to_use,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"Some usage context but different primary problem."
Substitute,Broad_guide,2,2,2,2,2,2,MEDIUM,NARROW_BROAD_GUIDE,"Broad guide includes adjacent definitions and buying advice; route to substitute rather than duplicate it."
Substitute,Farm_tradition_health,1,1,1,1,1,2,LOW_MEDIUM,NARROW_FARM_PAGE,"Only secondary overlap today; broad uses sections could expand into substitute territory."
Fresh_vs_dried,Curry_vs_powder,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"Both are comparisons but compare different entities."
Fresh_vs_dried,Storage,2,1,2,2,2,1,MEDIUM,BOUNDARY_LINK,"Both cover storage. Fresh-vs-dried should summarise trade-offs; storage should own complete methods."
Fresh_vs_dried,Recipes,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"Fresh/dried notes support recipes but do not replace them."
Fresh_vs_dried,Ways_to_use,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"Format choice and technique remain different tasks."
Fresh_vs_dried,Broad_guide,3,2,3,3,3,2,HIGH,NARROW_BROAD_GUIDE,"Broad guide has a full fresh-vs-dried section and competes with the dedicated comparison."
Fresh_vs_dried,Farm_tradition_health,3,2,3,3,2,2,HIGH,NARROW_FARM_PAGE,"Farm/health pillar contains a dried-vs-fresh comparison and repeats product-quality framing."
Curry_vs_powder,Storage,0,0,0,0,0,0,LOW,KEEP_SEPARATE,"Different tasks."
Curry_vs_powder,Recipes,1,0,1,0,0,1,LOW,KEEP_SEPARATE,"Definitions may appear in recipes but answer jobs differ."
Curry_vs_powder,Ways_to_use,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"A short clarification is enough on ways-to-use."
Curry_vs_powder,Broad_guide,2,2,2,2,2,2,MEDIUM,NARROW_BROAD_GUIDE,"Broad guide defines leaf versus powder; dedicated page should own the complete comparison."
Curry_vs_powder,Farm_tradition_health,2,2,2,2,2,2,MEDIUM,NARROW_FARM_PAGE,"Farm/health page contains broad definitional and usage copy."
Storage,Recipes,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"Recipes may mention leftovers; storage guide owns preservation methods."
Storage,Ways_to_use,1,1,1,1,1,1,LOW,KEEP_SEPARATE,"Usage ideas and preservation are distinct."
Storage,Broad_guide,3,3,3,3,3,2,HIGH,NARROW_BROAD_GUIDE,"Broad guide explicitly promises and explains storage, duplicating the specialist page."
Storage,Farm_tradition_health,2,2,2,2,2,2,MEDIUM,NARROW_FARM_PAGE,"Farm/health page includes storage and buying guidance without needing to own it."
Recipes,Ways_to_use,2,2,2,1,2,2,MEDIUM,KEEP_BOTH_WITH_BOUNDARIES,"Query vocabulary overlaps, but one supplies five complete recipes while the other supplies ten ideas plus tempering technique."
Recipes,Broad_guide,1,1,2,1,1,2,LOW_MEDIUM,NARROW_BROAD_GUIDE,"Broad guide should link to complete recipes rather than add recipe depth."
Recipes,Farm_tradition_health,2,2,3,2,2,2,MEDIUM,NARROW_FARM_PAGE,"Farm/health pillar has a recipes section and risks becoming a second recipe hub."
Ways_to_use,Broad_guide,3,3,3,3,3,2,HIGH,NARROW_BROAD_GUIDE,"Broad guide's use/tempering coverage competes directly with the dedicated how-to-use page."
Ways_to_use,Farm_tradition_health,3,3,3,3,3,2,HIGH,NARROW_FARM_PAGE,"Farm/health pillar contains broad uses and recipe sections that duplicate the usage page."
Broad_guide,Farm_tradition_health,3,3,3,3,3,3,VERY_HIGH,NARROW_BOTH_JOBS,"Two broad Australia pages cover origin, fresh/dried, use, health, buying and product value; this is the clearest cluster-level overlap."
