QUESTION,QUERY,QUERY_FAMILY,PRODUCT,INTENT,FUNNEL_STAGE,AU_RELEVANCE,SEARCH_DEMAND_EVIDENCE,CURRENT_OWNER_URL,OWNER_MATCH,ANSWER_PRESENT,ANSWER_QUALITY,FIRST_PARTY_EVIDENCE_AVAILABLE,COMPLIANCE,COMMERCIAL_VALUE,ACTION
Where can I buy dried curry leaves in Australia?,buy dried curry leaves Australia,CURRY BUY,Curry leaves,TRANSACTIONAL,PURCHASE,HIGH,Bing observation; account data required,https://nutrithrive.com.au/products/curry-leaves/,YES,YES,GOOD,Product/packing facts,SAFE,HIGH,PROTECT
What can replace curry leaves?,curry leaf substitute,CURRY SUBSTITUTE,Curry leaves,INFORMATIONAL,DISCOVERY,HIGH,Bing observed visibility,https://nutrithrive.com.au/blog/curry-leaves-substitute-what-to-use-2026,YES,YES,GOOD,Founder cooking evidence can improve,SAFE,MEDIUM,PROTECT
Fresh or dried curry leaves?,fresh vs dried curry leaves,CURRY FORMAT,Curry leaves,COMPARISON,CONSIDERATION,HIGH,Bing observed visibility,https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,YES,YES,GOOD,Controlled cooking test needed,SAFE,MEDIUM,PROTECT
Are curry leaves curry powder?,curry leaves vs curry powder,CURRY IDENTITY,Curry leaves,COMPARISON,DISCOVERY,HIGH,Bing observed visibility,https://nutrithrive.com.au/blog/curry-leaves-vs-curry-powder-difference-explained-2026,YES,YES,GOOD,Product evidence,SAFE,MEDIUM,PROTECT
How should curry leaves be stored?,how to store curry leaves,CURRY STORAGE,Curry leaves,INFORMATIONAL,POST_PURCHASE,HIGH,Bing observed visibility,https://nutrithrive.com.au/blog/how-to-store-curry-leaves-fresh-dried-australia-2026,YES,YES,GOOD,Real storage sequence needed,SAFE,MEDIUM,PROTECT
How do I use curry leaves?,how to use curry leaves,CURRY USE,Curry leaves,INFORMATIONAL,CONSIDERATION,HIGH,Existing route,https://nutrithrive.com.au/blog/curry-leaves-in-australian-cooking-how-to-use-2026,YES,YES,GOOD,Founder cooking evidence needed,SAFE,MEDIUM,PROTECT
Where can I buy Darjeeling tea in Australia?,buy Darjeeling tea Australia,TEA BUY,Darjeeling tea,TRANSACTIONAL,PURCHASE,HIGH,Bing broad guide surfaced; PDP gap,https://nutrithrive.com.au/products/black-tea/,YES,YES,GOOD,Pouch/source facts,SAFE,HIGH,PROTECT
How do I brew Darjeeling tea?,how to brew Darjeeling tea,TEA BREW,Darjeeling tea,INFORMATIONAL,CONSIDERATION,HIGH,Bing visibility gap observed,https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,YES,YES,REVIEW WITH SOURCE,Brewing test can improve,SAFE,MEDIUM,UPDATE
Darjeeling or English Breakfast?,Darjeeling vs English Breakfast,TEA COMPARISON,Darjeeling tea,COMPARISON,CONSIDERATION,HIGH,Broad guide surfaced instead of specialist,https://nutrithrive.com.au/blog/darjeeling-tea-vs-english-breakfast-comparison-2026,YES,YES,GOOD,Taste/brew comparison possible,SAFE,MEDIUM,ROUTE
How much caffeine is in Darjeeling tea?,Darjeeling tea caffeine,TEA CAFFEINE,Darjeeling tea,INFORMATIONAL,CONSIDERATION,HIGH,Bing observed visibility,https://nutrithrive.com.au/blog/how-much-caffeine-in-darjeeling-tea-vs-coffee-green-tea-2026,YES,YES,SOURCE REVIEW,External evidence needed,SAFE WITH SOURCES,MEDIUM,PROTECT
Does moringa powder expire?,does moringa powder expire,MORINGA STORAGE,Moringa,INFORMATIONAL,POST_PURCHASE,HIGH,GSC data cited in prior audit,https://nutrithrive.com.au/blog/how-long-does-moringa-powder-last-storage-shelf-life-2026,YES,YES,GOOD,Pack guidance,SAFE,MEDIUM,PROTECT
How do I choose moringa powder?,how to choose moringa powder Australia,MORINGA QUALITY,Moringa,COMPARISON,CONSIDERATION,HIGH,Bing observed visibility,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,YES,YES,GOOD,NMI/packing facts,SAFE — NO HEALTH EXPANSION,HIGH,PROTECT
Is NutriThrive organic?,NutriThrive moringa organic,MORINGA CERTIFICATION,Moringa,TRUST,CONSIDERATION,HIGH,Customer uncertainty,https://nutrithrive.com.au/products/moringa-powder/,YES,YES,GOOD,No ACO badge is verified site truth,SAFE,HIGH,PROTECT
What does moringa powder taste like?,what does moringa powder taste like,MORINGA TASTE,Moringa,INFORMATIONAL,CONSIDERATION,HIGH,Existing strong owner,https://nutrithrive.com.au/blog/what-does-moringa-powder-taste-like-honest-guide-2026,YES,YES,GOOD,Founder tasting evidence possible,SAFE,MEDIUM,PROTECT
What moringa dose treats disease?,moringa dosage diabetes,MORINGA HEALTH,Moringa,THERAPEUTIC,DISCOVERY,HIGH,Not used for growth,https://nutrithrive.com.au/,NO,NO,N/A,N/A,COMPLIANCE HOLD,LOW,COMPLIANCE_HOLD
