ID,CHANNEL,PRODUCT,URL,QUERY,INTENT,CURRENT_VISIBILITY,PROBLEM,ACTION,EXPECTED_DISCOVERY_IMPACT,EXPECTED_CTR_IMPACT,EXPECTED_PRODUCT_CLICK_IMPACT,EXPECTED_CONVERSION_IMPACT,FIRST_PARTY_EVIDENCE,COMPLIANCE,EFFORT,RISK,CONFIDENCE,DATA_REQUIRED,STATUS,FOUNDER_APPROVAL,MEASUREMENT_WINDOW
GM-001,GOOGLE MERCHANT,Curry leaves,https://nutrithrive.com.au/products/curry-leaves/,buy dried curry leaves Australia,TRANSACTIONAL,UNKNOWN,Account/feed state unknown,"Confirm Merchant ownership, free listings, feed and disapprovals",HIGH,MEDIUM,HIGH,HIGH,Current product facts,SAFE,LOW,LOW,HIGH,Merchant account,BLOCKED ON ACCOUNT,YES,14–30 days after fix
GM-002,BING,Darjeeling tea,https://nutrithrive.com.au/products/black-tea/,buy Darjeeling tea Australia,TRANSACTIONAL,PDP weak/absent in one observation,Index/merchant/routing cause unknown,"Inspect URL in Bing; verify sitemap, canonical, crawl and merchant state",HIGH,MEDIUM,HIGH,HIGH,Current product facts,SAFE,LOW,LOW,HIGH,Bing account,BLOCKED ON ACCOUNT,YES,14–30 days
GM-003,ANALYTICS,ALL,ALL,organic funnel,MEASUREMENT,Unknown,GA4 funnel not validated,Run non-charged DebugView journey and export AU landing/device funnel,NONE,NONE,NONE,HIGH,N/A,SAFE,MEDIUM,LOW,HIGH,GA4 access,BLOCKED ON ACCOUNT,YES,Immediate
GM-004,BING/INDEXNOW,ALL,SITEMAP URLs,freshness,TECHNICAL,Not implemented,Ownership/deployment key unconfirmed,Validate ownership then implement guarded canonical-change submissions,MEDIUM,LOW,LOW,LOW,N/A,SAFE,MEDIUM,MEDIUM,MEDIUM,Bing ownership and deploy architecture,GATED,YES,30 days
GM-005,GOOGLE/BING,Darjeeling tea,https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,how to brew Darjeeling tea,INFORMATIONAL,Not top 10 in one Bing observation,Cause not documented,"Inspect index, canonical, internal links, overlap and answer speed",MEDIUM,MEDIUM,MEDIUM,LOW,Measured brew test desirable,SAFE,MEDIUM,LOW,MEDIUM,Query×page + URL inspection,QUEUED,YES,28 days
GM-006,GOOGLE/BING,Curry leaves,https://nutrithrive.com.au/products/curry-leaves/,buy curry leaves Australia,TRANSACTIONAL,Guide/PDP visibility split,Commercial uncertainty and merchant state unknown,Audit PDP against account evidence before copy changes,HIGH,MEDIUM,HIGH,HIGH,Farm/packing/product assets,SAFE,MEDIUM,MEDIUM,MEDIUM,GSC/Bing/Merchant,QUEUED,YES,28 days
GM-007,IMAGES/MERCHANT,Curry/Darjeeling/Soap,PDPs,product image queries,TRANSACTIONAL,UNKNOWN,Origin and Merchant eligibility of images unconfirmed,Confirm real assets; test ≥500px clean product images in Merchant,HIGH,MEDIUM,MEDIUM,HIGH,Real product photos needed,SAFE,MEDIUM,LOW,HIGH,Merchant diagnostics,QUEUED,YES,30 days
GM-008,CONTENT EVIDENCE,Curry leaves,https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,fresh vs dried curry leaves,COMPARISON,Near #2 in one Bing observation,First-party test depth limited,Run controlled same-recipe fresh/dried comparison; publish only verified results,MEDIUM,MEDIUM,MEDIUM,MEDIUM,Founder test required,SAFE,HIGH,LOW,MEDIUM,Test data/photos,FOUNDER EVIDENCE,YES,28–60 days
GM-009,PRODUCT TRUST,Moringa,https://nutrithrive.com.au/products/moringa-powder/,moringa powder reviews,TRUST,Product AggregateRating removed,Reviews are business-wide/mixed,Collect attributable product-specific reviews before restoring Product rating,LOW,LOW,LOW,HIGH,Authentic review records,SAFE,MEDIUM,HIGH if mishandled,HIGH,Review source/permissions,FOUNDER EVIDENCE,YES,Ongoing
GM-010,SEARCH CONSOLE,Curry/Darjeeling/Soap,Priority URLs,query × page,DIAGNOSTIC,Missing,Cannibalisation cannot be established,Export country/device query×page data,NONE,NONE,NONE,HIGH,N/A,SAFE,LOW,LOW,HIGH,GSC account,BLOCKED ON ACCOUNT,YES,Immediate
GM-011,ENTITY,ALL,https://nutrithrive.com.au/about,NutriThrive Truganina,TRUST,Consistent locally,Opening hours not founder-verified,Confirm GBP/Bing Places/site/schema facts before changes,LOW,LOW,LOW,MEDIUM,Founder confirmation,SAFE,LOW,LOW,HIGH,GBP/Bing Places,GATED,YES,Immediate
GM-012,AI DISCOVERY,ALL,Priority informational URLs,product questions,INFORMATIONAL,Eligible crawler rules,WAF access and citation data unknown,Verify logs; export Bing AI Performance; assess answer clarity with restraint,MEDIUM,LOW,MEDIUM,LOW,Dates/evidence improve trust,SAFE,MEDIUM,LOW,MEDIUM,Hosting/Bing exports,QUEUED,YES,30–90 days
