action_id,tier,area,issue,evidence,recommended_action,affected_urls,expected_user_or_discovery_value,risk,founder_approval_required,account_access_required,validation_before_change,success_measure,status
MD-001,P0,Bing ownership,"No repository Bing verification marker; DNS/CNAME status unknown","No BingSiteAuth.xml or msvalidate.01 found","Check Bing Webmaster Tools ownership and current verification method; do not add duplicate verification until checked",Sitewide,"Unlock URL inspection crawl reports and sitemap diagnostics",Low,Yes,Yes,"Confirm existing property owner and DNS records","Verified property with current sitemap and no ownership conflict",RESEARCH_ONLY
MD-002,P0,Product structured data,"Moringa Product aggregateRating uses 4.9/12 while visible disclosure says reviews are business-wide and not product-specific","Product JSON-LD plus on-page disclosure","Evidence each rating is for moringa powder or remove aggregateRating from Product; keep business reviews visibly attributed without product-rating implication",https://nutrithrive.com.au/products/moringa-powder/,"Avoid misleading rich-result/entity data and compliance risk",High,Yes,No,"Review original GBP review records and Google Product/Review rules","Live Product markup contains only accurate product-specific rating data or none",RESEARCH_ONLY
MD-003,P0,Index freshness,"External crawl snapshot showed $49.50 while live DOM/source/Bing snippets show $79; DDG showed stale page titles","Live verification and SERP samples","After Bing ownership check submit sitemap and inspect/request recrawl for priority changed URLs; pilot IndexNow only after key setup",Priority PDPs and changed blogs,"Faster propagation of correct shipping/title facts",Low,Yes,Yes,"Confirm live canonical/status/title/meta and $79 on each URL","Bing/DDG snippets converge on current copy over subsequent crawls",RESEARCH_ONLY
MD-004,P0,Darjeeling commercial discovery,"Tea PDP absent for buy/Darjeeling samples while editorial guide ranks on Bing","SEARCH-ENGINE-TESTS.csv","Inspect tea PDP in Bing URL Inspection and Merchant Center; improve verified product fields and guide-to-PDP route only after diagnostics",https://nutrithrive.com.au/products/black-tea/,"More qualified product visits",Medium,Yes,Yes,"Confirm index status canonical rendered HTML inventory and feed state","Tea PDP gains impressions/clicks for commercial queries without guide decline",RESEARCH_ONLY
MD-005,P0,Darjeeling brewing discovery,"Dedicated brewing guide not observed in Bing/DDG top 10 sample","SEARCH-ENGINE-TESTS.csv","Inspect URL indexing/canonical and inbound links; compare content to objective query needs before any copy change",https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,"Reach informational tea users and route qualified visitors to PDP",Medium,Yes,Yes,"Bing URL Inspection plus 28/90-day query-page data","Impressions/CTR increase for brew queries and blog_product_click is stable/improves",RESEARCH_ONLY
MD-006,P1,Article schema,"42 of 122 Article records lack datePublished and 36 lack dateModified","Local JSON-LD inventory; all JSON parsed","Recover verified dates from git/publishing records and add accurate visible/schema dates in a guarded batch",Affected blog subset,"Better freshness/entity clarity for search and AI retrieval",Medium,Yes,No,"Create exact URL/date manifest and reject inferred dates","Zero verified Article date omissions; no title/canonical/body changes",RESEARCH_ONLY
MD-007,P1,Anthropic crawler policy,"Robots names obsolete Claude-Web and anthropic-ai; current three agents are not explicit","robots.txt and Anthropic documentation","Approve purpose-separated policy: usually allow Claude-SearchBot and Claude-User; decide ClaudeBot training independently",https://nutrithrive.com.au/robots.txt,"Clear AI search and user-fetch access without bundling training consent",Medium,Yes,No,"Recheck current Anthropic agent names and CDN rules","Robots tester/logs confirm intended access per agent",RESEARCH_ONLY
MD-008,P1,IndexNow,"No key or submission integration found","Repository search and Bing documentation","Pilot IndexNow for changed canonical URLs only; log response and verify in Bing Webmaster Tools",Sitewide change pipeline,"Faster Bing/DDG discovery of genuine changes",Medium,Yes,Yes,"Bing ownership; key location; staging request; canonical allowlist","Successful submissions and reduced change-to-recrawl time; no URL spam",RESEARCH_ONLY
MD-009,P1,Curry transactional intent,"Bing did not show NutriThrive top 10 for buy curry leaves Australia while DDG showed PDP ~#3","SERP sample","Inspect Bing index/merchant eligibility and strengthen verified product/shipping fields without a new page",https://nutrithrive.com.au/products/curry-leaves/,"Commercial curry traffic",Medium,Yes,Yes,"URL Inspection rendered page and product schema validator","More PDP impressions/clicks for buy intent",RESEARCH_ONLY
MD-010,P1,DuckDuckGo freshness,"DDG showed old curry PDP and 5-point verify titles","DDG sample vs current source","Address upstream Bing freshness and avoid repeated title edits during observation window",Priority changed URLs,"More accurate snippets and user trust",Low,Yes,Yes,"Record current title/canonical and Bing crawl date","DDG shows current title after recrawl",RESEARCH_ONLY
MD-011,P1,Entity consistency,"LocalBusiness hours say 09:00–23:00 seven days; account truth not checked","Repeated JSON-LD entity","Verify phone hours address and social links against GBP and real operations; change only mismatches",Sitewide LocalBusiness JSON-LD,"Reliable local/entity grounding",Medium,Yes,Yes,"Founder/GBP confirmation","Source JSON-LD GBP and visible contact facts agree",RESEARCH_ONLY
MD-012,P1,Review presentation,"Business-wide reviews including moringa/organic claims appear on unrelated PDPs","Visible product-page review blocks and disclosure","Assess whether to show only relevant product reviews or move business-wide reviews to a clearly business-level component; retain attribution and non-organic disclosure",All PDPs,"Reduce user/AI confusion and improve trust",Medium,Yes,No,"Map each original review to product/business and legal wording","No product page implies an unrelated testimonial is product-specific",RESEARCH_ONLY
MD-013,P1,AI citation quality,"Several priority guides have limited independent/primary sourcing","AI-CITATION-AUDIT.csv","Add a small number of authoritative sources only for objective claims; keep first-party experience labelled",Priority curry/Darjeeling/moringa guides,"More verifiable answers for search grounding and users",Medium,Yes,No,"Fact-by-fact source review; no unsupported health claims","Higher citation audit scores and stable/improved engagement",RESEARCH_ONLY
MD-014,P2,Facebook organic referral,"Five shareable guides have OG tags but live cache/image state not tested in Facebook tools","Local OG audit","Use Facebook Sharing Debugger; test one useful non-promotional share with UTMs and measure landing-page quality",Five recommended guides,"Diversified referral discovery",Low,Yes,Yes,"Preview image/title/description and consent for posting","Engaged sessions product clicks and assisted purchases from Facebook",RESEARCH_ONLY
MD-015,P2,GA4 channel comparison,"No connected GA4 data available to compare Bing DDG Claude and Facebook","Audit scope limitation","Create source/medium landing-page exploration with funnel events AU/device splits and 28/90-day windows",GA4 property,"Evidence-led prioritisation instead of rank anecdotes",Low,Yes,Yes,"DebugView event test; referral exclusions; channel mapping","Reliable channel funnel report with no self/payment referrals",RESEARCH_ONLY
MD-016,P2,Merchant discovery,"Product Offers exist but Merchant Center/feed state was unavailable","Six Product records; Google/Bing commerce guidance","Audit Merchant Center/Bing merchant feeds and shipping/return data before adding schema properties",All PDPs,"Eligibility for richer product discovery",Medium,Yes,Yes,"Verify real rates returns identifiers and inventory","No feed/site mismatches; valid diagnostics",RESEARCH_ONLY
MD-017,P2,llms.txt,"File exists but no authoritative evidence it improves Claude citation/rank","Repository and Anthropic sources","Maintain only if factually accurate and low cost; do not invest as a ranking project",https://nutrithrive.com.au/llms.txt,"Avoid wasted effort and unsupported GEO claims",Low,No,No,"Diff facts against canonical pages","No contradictions; zero priority displacement",RESEARCH_ONLY
